,title,link
81,"The Good, the Bad and the Ugly",https://www.rottentomatoes.com/m/the_good_the_bad_and_the_ugly/reviews
82,Harry Potter and the Deathly Hallows: Part 2,https://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_2/reviews
83,The Silence of the Lambs,https://www.rottentomatoes.com/m/silence_of_the_lambs/reviews
84,Fanny and Alexander,https://www.rottentomatoes.com/m/fanny_and_alexander/reviews
85,Laura,https://www.rottentomatoes.com/m/1012007-laura/reviews
86,The Shop Around the Corner,https://www.rottentomatoes.com/m/shop_around_the_corner/reviews
87,His Girl Friday,https://www.rottentomatoes.com/m/his_girl_friday/reviews
88,All Quiet on the Western Front,https://www.rottentomatoes.com/m/all_quiet_on_the_western_front/reviews
89,"Monsters, Inc.",https://www.rottentomatoes.com/m/monsters_inc/reviews
90,Nights of Cabiria,https://www.rottentomatoes.com/m/nights_of_cabiria/reviews
91,Pather Panchali,https://www.rottentomatoes.com/m/pather_panchali/reviews
92,Meet Me in St. Louis,https://www.rottentomatoes.com/m/meet_me_in_st_louis/reviews
93,Witness for the Prosecution,https://www.rottentomatoes.com/m/witness_for_the_prosecution/reviews
94,Eighth Grade,https://www.rottentomatoes.com/m/eighth_grade/reviews
95,Rebecca,https://www.rottentomatoes.com/m/1017293-rebecca/reviews
96,Stalker,https://www.rottentomatoes.com/m/1043378-stalker/reviews
97,The Terminator,https://www.rottentomatoes.com/m/terminator/reviews
98,Memento,https://www.rottentomatoes.com/m/memento/reviews
99,The Social Network,https://www.rottentomatoes.com/m/the-social-network/reviews
100,The Hurt Locker,https://www.rottentomatoes.com/m/the_hurt_locker/reviews
101,12 Years a Slave,https://www.rottentomatoes.com/m/12_years_a_slave/reviews
102,Catch Me if You Can,https://www.rottentomatoes.com/m/catch_me_if_you_can/reviews
103,Jaws,https://www.rottentomatoes.com/m/jaws/reviews
104,A Man Escaped,https://www.rottentomatoes.com/m/a_man_escaped/reviews
105,Pan's Labyrinth,https://www.rottentomatoes.com/m/pans_labyrinth/reviews
106,The Red Shoes,https://www.rottentomatoes.com/m/1017346-red_shoes/reviews
107,Anatomy of a Murder,https://www.rottentomatoes.com/m/anatomy-of-a-murder/reviews
108,Das Boot,https://www.rottentomatoes.com/m/das_boot/reviews
109,Ikiru,https://www.rottentomatoes.com/m/ikiru/reviews
110,Open City,https://www.rottentomatoes.com/m/open_city/reviews
111,Lady Bird,https://www.rottentomatoes.com/m/lady_bird/reviews
112,Hunt for the Wilderpeople,https://www.rottentomatoes.com/m/hunt_for_the_wilderpeople/reviews
113,Hell or High Water,https://www.rottentomatoes.com/m/hell_or_high_water/reviews
114,Army of Shadows,https://www.rottentomatoes.com/m/army_of_shadows/reviews
115,007: Goldfinger,https://www.rottentomatoes.com/m/goldfinger/reviews
116,The Lady Eve,https://www.rottentomatoes.com/m/lady_eve/reviews
117,Saving Private Ryan,https://www.rottentomatoes.com/m/saving_private_ryan/reviews
118,Ratatouille,https://www.rottentomatoes.com/m/ratatouille/reviews
119,Star Trek,https://www.rottentomatoes.com/m/star_trek_11/reviews
120,The Iron Giant,https://www.rottentomatoes.com/m/iron_giant/reviews
121,Monty Python and the Holy Grail,https://www.rottentomatoes.com/m/monty_python_and_the_holy_grail/reviews
122,Star Wars: Episode IV - A New Hope,https://www.rottentomatoes.com/m/star_wars_episode_iv_a_new_hope/reviews
123,Shadow of a Doubt,https://www.rottentomatoes.com/m/1018688-shadow_of_a_doubt/reviews
124,WALL-E,https://www.rottentomatoes.com/m/wall_e/reviews
125,Brooklyn,https://www.rottentomatoes.com/m/brooklyn/reviews
126,Mr. Smith Goes to Washington,https://www.rottentomatoes.com/m/mr_smith_goes_to_washington/reviews
127,Spider-Man: No Way Home,https://www.rottentomatoes.com/m/spider_man_no_way_home/reviews
128,The Best Years of Our Lives,https://www.rottentomatoes.com/m/best_years_of_our_lives/reviews
129,The Bridge on the River Kwai,https://www.rottentomatoes.com/m/bridge_on_the_river_kwai/reviews
130,Ali: Fear Eats the Soul,https://www.rottentomatoes.com/m/fear_of_fear/reviews
131,Whiplash,https://www.rottentomatoes.com/m/whiplash_2014/reviews
132,The Farewell,https://www.rottentomatoes.com/m/the_farewell_2019/reviews
133,Unforgiven,https://www.rottentomatoes.com/m/1041911-unforgiven/reviews
134,The Adventures of Robin Hood,https://www.rottentomatoes.com/m/1000355-adventures_of_robin_hood/reviews
135,Pulp Fiction,https://www.rottentomatoes.com/m/pulp_fiction/reviews
136,The King's Speech,https://www.rottentomatoes.com/m/the_kings_speech/reviews
137,Leave No Trace,https://www.rottentomatoes.com/m/leave_no_trace/reviews
138,Star Wars: Episode V - The Empire Strikes Back,https://www.rottentomatoes.com/m/star_wars_episode_v_the_empire_strikes_back/reviews
139,The Passion of Joan of Arc,https://www.rottentomatoes.com/m/passion_of_joan_of_arc/reviews
140,Quiz Show,https://www.rottentomatoes.com/m/quiz_show/reviews
141,Avengers: Endgame,https://www.rottentomatoes.com/m/avengers_endgame/reviews
142,Ran,https://www.rottentomatoes.com/m/ran/reviews
143,Safety Last,https://www.rottentomatoes.com/m/safety_last/reviews
144,Iron Man,https://www.rottentomatoes.com/m/iron_man/reviews
145,Moana,https://www.rottentomatoes.com/m/moana_2016/reviews
146,Little Women,https://www.rottentomatoes.com/m/little_women_2019/reviews
147,Puss in Boots: The Last Wish,https://www.rottentomatoes.com/m/puss_in_boots_the_last_wish/reviews
148,Casino Royale,https://www.rottentomatoes.com/m/casino_royale/reviews
149,The Handmaiden,https://www.rottentomatoes.com/m/the_handmaiden/reviews
150,La Haine,https://www.rottentomatoes.com/m/la_haine/reviews
151,La Strada,https://www.rottentomatoes.com/m/la_strada/reviews
152,Rashomon,https://www.rottentomatoes.com/m/rashomon/reviews
153,Top Hat,https://www.rottentomatoes.com/m/top_hat/reviews
154,The Artist,https://www.rottentomatoes.com/m/the_artist/reviews
155,The Conformist,https://www.rottentomatoes.com/m/the_conformist/reviews
156,One Flew Over the Cuckoo's Nest,https://www.rottentomatoes.com/m/one_flew_over_the_cuckoos_nest/reviews
157,In the Heat of the Night,https://www.rottentomatoes.com/m/in_the_heat_of_the_night/reviews
158,Raiders of the Lost Ark,https://www.rottentomatoes.com/m/raiders_of_the_lost_ark/reviews
159,The Peanut Butter Falcon,https://www.rottentomatoes.com/m/the_peanut_butter_falcon/reviews
160,Paths of Glory,https://www.rottentomatoes.com/m/paths_of_glory/reviews
161,King Kong,https://www.rottentomatoes.com/m/1011615-king_kong/reviews
162,Children of Paradise,https://www.rottentomatoes.com/m/children_of_paradise/reviews
163,A Beautiful Day in the Neighborhood,https://www.rottentomatoes.com/m/a_beautiful_day_in_the_neighborhood/reviews
164,The LEGO Movie,https://www.rottentomatoes.com/m/the_lego_movie/reviews
